Last login: Wed Nov 19 09:15:22 on ttys016
/dev/fd/12:18: command not found: compdef
(base) atlesund@Atles-MacBook-Pro ~ % psql -h 138.100.82.184 -U lectura -d 2207 -p 2345                                         
Password for user lectura: 
psql (14.19 (Homebrew), server 14.17 (Debian 14.17-1.pgdg120+1))
Type "help" for help.

2207=> SELECT vf.value, TO_TIMESTAMP(vf.date/1000) AS ts, v.name, v.datatype, units.prettyname FROM variable_log_float vf LEFT JOIN variable v ON vf.id_var = v.id LEFT JOIN units ON units.name = v.name ORDER BY ts DESC LIMIT 50;
     value     |           ts           |                 name                  |     datatype      |            prettyname             
---------------+------------------------+---------------------------------------+-------------------+-----------------------------------
       -204867 | 2022-02-23 18:59:59+00 | EJE_Y_DISTANCIA_A_COTA                | java.lang.Integer | Axis Y, distance to go
  4.253982e+06 | 2022-02-23 18:59:59+00 | EJE_Z_POSICION_ACTUAL_REFERENCE       | java.lang.Integer | Axis Z, actual reference position
 -1.841618e+07 | 2022-02-23 18:59:59+00 | EJE_8_POSICION_ACTUAL_REFERENCIA      | java.lang.Integer | Axis 8, actual reference position
            25 | 2022-02-23 18:59:59+00 | EJE_8_UTILIZACION_MOTOR               | java.lang.Integer | Axis 8, motor utilization
          3250 | 2022-02-23 18:59:59+00 | TEMPERATURA_CARNERO                   | java.lang.Short   | Ram temperature
  2.828034e+06 | 2022-02-23 18:59:59+00 | EJE_5_POSICION_ACTUAL_REFERENCIA      | java.lang.Integer | Axis 5, actual reference position
 1.6269902e+07 | 2022-02-23 18:59:59+00 | EJE_X_DISTANCIA_A_COTA                | java.lang.Integer | Axis X, distance to go
          3228 | 2022-02-23 18:59:59+00 | TEMPERATURA_CARNERO_2                 | java.lang.Short   | Ram temperature 2
  2.828714e+07 | 2022-02-23 18:59:59+00 | AXIS_X_ACTUAL_POSITION_REFERENCE      | java.lang.Integer | Axis X, actual reference position
          1526 | 2022-02-23 18:59:59+00 | TEMPERATURA_BASE                      | java.lang.Short   | Base temperature
           292 | 2022-02-23 18:59:59+00 | VACUOSTATO_VACIO_CABEZAL              | java.lang.Short   | Vacuostato vacio cabezal
  1.645643e+09 | 2022-02-23 18:59:59+00 | CURRENT_TIME                          | java.lang.Integer | Time
            34 | 2022-02-23 18:59:59+00 | AXIS_Z_MOTOR_UTILIZACION              | java.lang.Integer | Axis Z, motor utilization
     843.45154 | 2022-02-23 18:59:59+00 | Y                                     | java.lang.Double  | Y encoder position
     2849.9866 | 2022-02-23 18:59:59+00 | X                                     | java.lang.Double  | X encoder position
             5 | 2022-02-23 18:59:59+00 | AXIS_X_MOTOR_UTILIZACION              | java.lang.Integer | Axis X, motor utilization
        989522 | 2022-02-23 18:59:59+00 | MANDRINO_POSICION_ACTUAL              | java.lang.Integer | Spindle actual position
  8.437776e+06 | 2022-02-23 18:59:59+00 | EJE_Y_ACTUAL_POSITION_REFERENCE       | java.lang.Integer | Axis Y, actual reference position
            50 | 2022-02-23 18:59:59+00 | SPINDLE_LOAD_1                        | java.lang.Integer | Spindle 1, motor utilization
          3436 | 2022-02-23 18:59:59+00 | TEMPERATURA_CABEZAL                   | java.lang.Short   | Head temperature
            17 | 2022-02-23 18:59:59+00 | AXIS_Y_MOTOR_UTILIZATION              | java.lang.Integer | Axis Y, motor utilization
            33 | 2022-02-23 18:59:58+00 | AXIS_Z_MOTOR_UTILIZACION              | java.lang.Integer | Axis Z, motor utilization
  1.645643e+09 | 2022-02-23 18:59:58+00 | CURRENT_TIME                          | java.lang.Integer | Time
           289 | 2022-02-23 18:59:58+00 | VACUOSTATO_VACIO_CABEZAL              | java.lang.Short   | Vacuostato vacio cabezal
  4.253993e+06 | 2022-02-23 18:59:58+00 | EJE_Z_POSICION_ACTUAL_REFERENCE       | java.lang.Integer | Axis Z, actual reference position
            48 | 2022-02-23 18:59:58+00 | EJE_5_UTILIZACION_MOTOR               | java.lang.Integer | Axis 5, motor utilization
            46 | 2022-02-23 18:59:58+00 | SPINDLE_LOAD_1                        | java.lang.Integer | Spindle 1, motor utilization
            44 | 2022-02-23 18:59:58+00 | MANDRINO_CONSUMO_VISUALIZADO          | java.lang.Integer | Spindle consumption viewed
   2.13272e+06 | 2022-02-23 18:59:58+00 | EJE_5_POSICION_ACTUAL_REFERENCIA      | java.lang.Integer | Axis 5, actual reference position
            28 | 2022-02-23 18:59:58+00 | EJE_8_UTILIZACION_MOTOR               | java.lang.Integer | Axis 8, motor utilization
     2817.7847 | 2022-02-23 18:59:58+00 | X                                     | java.lang.Double  | X encoder position
  2.796898e+07 | 2022-02-23 18:59:58+00 | AXIS_X_ACTUAL_POSITION_REFERENCE      | java.lang.Integer | Axis X, actual reference position
     843.85583 | 2022-02-23 18:59:58+00 | Y                                     | java.lang.Double  | Y encoder position
             6 | 2022-02-23 18:59:58+00 | AXIS_X_MOTOR_UTILIZACION              | java.lang.Integer | Axis X, motor utilization
          1893 | 2022-02-23 18:59:58+00 | DILATACIONES_CORRECCION_AXIAL_CABEZAL | java.lang.Integer | Dilatation head axial correction
  -1.80982e+07 | 2022-02-23 18:59:58+00 | EJE_8_POSICION_ACTUAL_REFERENCIA      | java.lang.Integer | Axis 8, actual reference position
          3233 | 2022-02-23 18:59:58+00 | TEMPERATURA_CARNERO_2                 | java.lang.Short   | Ram temperature 2
           546 | 2022-02-23 18:59:58+00 | NIVEL_TALADRINA_DEP_1                 | java.lang.Short   | Coolant level storage 1 
        986042 | 2022-02-23 18:59:58+00 | MANDRINO_POSICION_ACTUAL              | java.lang.Integer | Spindle actual position
   8.44193e+06 | 2022-02-23 18:59:58+00 | EJE_Y_ACTUAL_POSITION_REFERENCE       | java.lang.Integer | Axis Y, actual reference position
          3437 | 2022-02-23 18:59:58+00 | TEMPERATURA_CABEZAL                   | java.lang.Short   | Head temperature
 1.6588053e+07 | 2022-02-23 18:59:58+00 | EJE_X_DISTANCIA_A_COTA                | java.lang.Integer | Axis X, distance to go
       -208946 | 2022-02-23 18:59:58+00 | EJE_Y_DISTANCIA_A_COTA                | java.lang.Integer | Axis Y, distance to go
          3251 | 2022-02-23 18:59:58+00 | TEMPERATURA_CARNERO                   | java.lang.Short   | Ram temperature
            36 | 2022-02-23 18:59:57+00 | AXIS_Z_MOTOR_UTILIZACION              | java.lang.Integer | Axis Z, motor utilization
